english	translation	category	sub_category	source
A deadly looking dart tip made of iron - needs feathers for flight.		examine	item	Iron dart tip
A deadly-looking dart tip made of steel - needs feathers for flight.		examine	item	Steel dart tip
A deadly looking dart tip made of mithril - needs feathers for flight.		examine	item	Mithril dart tip
A deadly-looking dart tip made of adamant - needs feathers for flight.		examine	item	Adamant dart tip
A deadly-looking dart tip made of runite - needs feathers for flight.		examine	item	Rune dart tip
Ugh! It's wriggling!		examine	item	Worm
A rope.		examine	item	Throwing rope
A dangerous looking knife.		examine	item	Knife
This would make warm clothing.		examine	item	Bear fur
It's a sheet of silk.		examine	item	Silk
A slightly muddy spade.		examine	item	Spade
A coil of rope.		examine	item	Rope
Get your axes from Bob's Axes.		examine	item	Flyer
I need to pull this.		examine	item	Christmas cracker
Ooooh spooky!		examine	item	Skull
A fraction of a roof.		examine	item	Tile
A rock		examine	item	Rock
Used for making notes.		examine	item	Papyrus
Used papyrus, it has squiggles all over it.		examine	item	Papyrus
A lump of charcoal.		examine	item	Charcoal
A cooking pot.		examine	item	Cooking pot
Used to get out of Thordur's blackhole.		examine	item	Disk of returning
Opens a door that leads into a dungeon (Edgeville Dungeon entrance).		examine	item	Brass key
The tooth end of the mysterious Crystal Key. Can you find the other half?		examine	item	Tooth half of key
The loop end of the mysterious Crystal Key. Can you find the other half?		examine	item	Loop half of key
A mysterious key for a mysterious chest.		examine	item	Crystal key
It looks like the key to a chest (Used to open the muddy chest in the lava maze).		examine	item	Muddy key
You get a sense of dread from this key (Used to open the sinister chest in Yanille dungeon).		examine	item	Sinister key
A mostly clean apron.		examine	item	White apron
I'd prefer a gold one.		examine	item	Brass necklace
Leg covering favoured by women and wizards.		examine	item	Blue skirt
A ladies skirt.		examine	item	Pink skirt
Clothing favoured by women and dark wizards.		examine	item	Black skirt
A black piece of cloth on a string.		examine	item	Right eye patch
A rabbit-like adornment.		examine	item	Bunny ears
A nice hat from a cracker.		examine	item	Red partyhat
It's a Santa hat.		examine	item	Santa hat
Aaaarrrghhh ... I'm a monster.		examine	item	Green halloween mask
I'll need to get this repaired before I can use it.		examine	item	Iban's staff
A halberd.		examine	item	Halberd
A warhammer.		examine	item	Warhammer
A javelin.		examine	item	Javelin
A mysterious power emanates from the talisman...		examine	item	Soul talisman
I can exchange this for equipment.		examine	item	Archery ticket
For use on daggers and projectiles.		examine	item	Weapon poison
A rather nasty looking crustacean.		examine	item	Sea slug
Some damp wooden sticks.		examine	item	Damp sticks
Some dry wooden sticks.		examine	item	Dry sticks
Smashed glass.		examine	item	Broken glass
A small round red bead.		examine	item	Red bead
A small round yellow bead.		examine	item	Yellow bead
A small round black bead.		examine	item	Black bead
A small round white bead.		examine	item	White bead
A chunk of rock.		examine	item	Rock
It's coated in an oily substance.		examine	item	Oily cloth
A broken piece of railing.		examine	item	Piece of railing
A withered unicorn horn.		examine	item	Unicorn horn
A coat of arms of the Ardougne Paladins.		examine	item	Paladin's badge
A cat.		examine	item	Witch's cat
A simple doll with Iban's likeness.		examine	item	Doll of iban
An account of the last times of someone.		examine	item	Old journal
The tale of Iban.		examine	item	History of iban
I thought you only saw these in pairs?		examine	item	Iban's dove
A mystical demonic amulet.		examine	item	Amulet of othanian
A strange dark liquid.		examine	item	Iban's shadow
Smells stronger than most spirits.		examine	item	Dwarf brew
The burnt remains of Iban.		examine	item	Iban's ashes
A search warrant for a house in West Ardougne.		examine	item	Warrant
It doesn't look very tasty.		examine	item	Hangover cure
Maybe I should read it...		examine	item	Ardougne teleport scroll
Stops me from breathing nasty stuff!		examine	item	Gas mask
Quite a small key (Used in the Plague City quest).		examine	item	A small key
"It seems to say ""hongorer lure""..."		examine	item	A scruffy note
Turnip growing for beginners.		examine	item	Book
A picture of a lady called Elena.		examine	item	Picture
A number of wooden logs.		examine	item	Logs
Logs cut from a magic tree.		examine	item	Magic logs
Logs cut from a yew tree.		examine	item	Yew logs
Logs cut from a maple tree.		examine	item	Maple logs
Logs cut from a willow tree.		examine	item	Willow logs
Logs cut from an oak tree.		examine	item	Oak logs
For picking tough locks.		examine	item	Lockpick
This herb is Snake Weed.		examine	item	Snake weed
This herb is Ardrigal.		examine	item	Ardrigal
This herb is Sito Foil.		examine	item	Sito foil
This herb is Volencia Moss.		examine	item	Volencia moss
This herb is Rogue's Purse.		examine	item	Rogue's purse
A piece of the map to Crandor.		examine	item	Map part
A map of the route to Crandor.		examine	item	Crandor map
Keeps things in place fairly permanently.		examine	item	Steel nails
A key to Melzar's Maze (Used in the Dragon Slayer I quest).		examine	item	Maze key
A red key from Melzar's Maze (Used in the Dragon Slayer I quest).		examine	item	Key
An orange key from Melzar's Maze (Used in the Dragon Slayer I quest).		examine	item	Key
A yellow key from Melzar's Maze (Used in the Dragon Slayer I quest).		examine	item	Key
A blue key from Melzar's Maze (Used in the Dragon Slayer I quest).		examine	item	Key
A magenta key from Melzar's Maze (Used in the Dragon Slayer I quest).		examine	item	Key
A green key from Melzar's Maze (Used in the Dragon Slayer I quest).		examine	item	Key
A very pointy stick.		examine	item	Stake
A clove of garlic.		examine	item	Garlic
Sardine flavoured with doogle leaves.		examine	item	Seasoned sardine
It looks like it's lost.		examine	item	Fluffs' kitten
This kitten seems to like you.		examine	item	Pet kitten
This cat definitely likes you.		examine	item	Pet cat
This cat is so well fed it can hardly move.		examine	item	Pet cat
A tasty herb, good for seasoning.		examine	item	Doogle leaves
For feline training expertise.		examine	item	Cat training medal
Scarface Pete's Candlestick.		examine	item	Pete's candlestick
This denotes a Master Thief.		examine	item	Thieves' armband
Yuck.		examine	item	Blamish snail slime
Made from the finest snail slime.		examine	item	Blamish oil
Firebird feather.		examine	item	Fire feather
Apparently my name is Hartigen.		examine	item	Id papers
Useful for catching lava eels.		examine	item	Oily fishing rod
I wonder what this unlocks? (Used in Heroes' Quest).		examine	item	Miscellaneous key
Some keys on a keyring (Used in Heroes' Quest).		examine	item	Grip's keyring
Never let your home get like this (Provides access to the deeper parts of Taverley Dungeon).		examine	item	Dusty key
Key to a cell (Provides access to the Black Knights jail cell in Taverley Dungeon).		examine	item	Jail key
Used to make rings.		examine	item	Ring mould
Used to make unholy symbols.		examine	item	Unholy mould
Used to make amulets.		examine	item	Amulet mould
Used to make necklaces.		examine	item	Necklace mould
Used to make holy symbols of Saradomin.		examine	item	Holy mould
This looks valuable.		examine	item	Diamond
A semi precious stone.		examine	item	Opal
This would be worth more cut.		examine	item	Uncut diamond
This gem is crushed and broken.		examine	item	Crushed gem
A valuable ring.		examine	item	Gold ring
I wonder if this is valuable.		examine	item	Gold necklace
It needs a string so I can wear it.		examine	item	Gold amulet (u)
A plain gold amulet.		examine	item	Gold amulet
I wonder if I can get this enchanted.		examine	item	Sapphire amulet
A symbol of Saradomin.		examine	item	Unblessed symbol
An unblessed symbol of Zamorak.		examine	item	Unpowered symbol
Used with a thread to make clothes.		examine	item	Needle
Used with a needle to make clothes.		examine	item	Thread
For shearing sheep.		examine	item	Shears
Nice and fluffy.		examine	item	Wool
I should take this to the tannery.		examine	item	Cowhide
It's a piece of hard leather.		examine	item	Hard leather
It's a piece of prepared green dragonhide.		examine	item	Green dragon leather
The scaly rough hide from a Black Dragon.		examine	item	Black dragonhide
The scaly rough hide from a Red Dragon.		examine	item	Red dragonhide
The scaly rough hide from a Blue Dragon.		examine	item	Blue dragonhide
The scaly rough hide from a Green Dragon.		examine	item	Green dragonhide
Good for detailed crafting.		examine	item	Chisel
Spun from wool.		examine	item	Ball of wool
Clay soft enough to mould.		examine	item	Soft clay
A little bottle of red dye.		examine	item	Red dye
A little bottle of yellow dye.		examine	item	Yellow dye
A little bottle of blue dye.		examine	item	Blue dye
A little bottle of orange dye.		examine	item	Orange dye
A little bottle of green dye.		examine	item	Green dye
A little bottle of purple dye.		examine	item	Purple dye
Hot glass ready to be blown into useful objects.		examine	item	Molten glass
I need a bow stave to attach this to.		examine	item	Bow string
I should use this with a spinning wheel.		examine	item	Flax
One of the ingredients for making glass.		examine	item	Soda ash
Used to form molten glass into useful items.		examine	item	Glassblowing pipe
I need to put this in a pottery oven.		examine	item	Unfired pot
A slightly bluish leaf.		examine	item	Woad leaf
Useful for Crafting items.		examine	item	Bronze wire
Anna's shiny silver coated necklace.		examine	item	Silver necklace
Anna's shiny silver coated necklace coated with a thin layer of flour.		examine	item	Silver necklace
Bob's shiny silver coated tea cup.		examine	item	Silver cup
Bob's shiny silver coated tea cup coated with a thin layer of flour.		examine	item	Silver cup
Carol's shiny silver coated bottle.		examine	item	Silver bottle
Carol's shiny silver coated bottle coated with a thin layer of flour.		examine	item	Silver bottle
David's shiny silver coated book.		examine	item	Silver book
David's shiny silver coated book coated with a thin layer of flour.		examine	item	Silver book
Elizabeth's shiny silver coated needle.		examine	item	Silver needle
Elizabeth's shiny silver coated needle coated with a thin layer of flour.		examine	item	Silver needle
Frank's shiny silver coated pot.		examine	item	Silver pot
Frank's shiny silver coated pot coated with a thin layer of flour.		examine	item	Silver pot
Some red thread found at the murder scene.		examine	item	Criminal's thread
Some green thread found at the murder scene.		examine	item	Criminal's thread
Some blue thread found at the murder scene.		examine	item	Criminal's thread
A piece of fly paper. It's sticky.		examine	item	Flypaper
A pot found at the murder scene, with a sickly odour.		examine	item	Pungent pot
A flimsy-looking dagger found at the crime scene.		examine	item	Criminal's dagger
A flimsy-looking dagger found at the crime scene coated with a thin layer of flour.		examine	item	Criminal's dagger
The fingerprints of the murderer.		examine	item	Killer's print
An imprint of Anna's fingerprint.		examine	item	Anna's print
An imprint of Bob's fingerprint.		examine	item	Bob's print
An imprint of Carol's fingerprint.		examine	item	Carol's print
An imprint of David's fingerprint.		examine	item	David's print
An imprint of Elizabeth's fingerprint.		examine	item	Elizabeth's print
An imprint of Frank's fingerprint.		examine	item	Frank's print
An unidentified fingerprint taken from the murder weapon.		examine	item	Unknown print
A full waterskin with four portions of water.		examine	item	Waterskin(4)
A nearly full waterskin with three portions of water.		examine	item	Waterskin(3)
A half empty waterskin with two portions of water.		examine	item	Waterskin(2)
A nearly empty waterskin with one portion of water.		examine	item	Waterskin(1)
A completely empty waterskin - you'll need to fill it up.		examine	item	Waterskin(0)
A cool, light desert shirt.		examine	item	Desert shirt
A cool, light desert robe.		examine	item	Desert robe
Comfortable desert shoes.		examine	item	Desert boots
This key is crudely made. It came from the mining camp Mercenary Captain (Provides access to the Desert Mining Camp).		examine	item	Metal key
A metallic key, usually used by prison guards (Unlocks the cell door in the Desert Mining Camp).		examine	item	Cell door key
An empty mining barrel.		examine	item	Barrel
This key unlocks a very sturdy gate of some sort. Ana gave me this key (Access to the Desert Mining Camp's mine).		examine	item	Wrought iron key
A filthy, smelly, flea infested shirt.		examine	item	Slave shirt
A filthy, smelly, flea infested robe.		examine	item	Slave robe
A set of filthy, smelly, flea infested desert slave boots.		examine	item	Slave boots
A piece of paper with barely legible writing - looks like a recipe!		examine	item	Scrumpled paper
Very important information.		examine	item	Shantay disclaimer
A prototype throwing dart.		examine	item	Prototype dart
Plans of a technical nature.		examine	item	Technical plans
The most delicious of pineapples.		examine	item	Tenti pineapple
A key to the chest in Captain Siad's room (Used in the Tourist Trap quest).		examine	item	Bedabin key
A prototype dart tip - it looks deadly.		examine	item	Prototype dart tip
Allows you to pass through the Shantay pass into the Kharid Desert.		examine	item	Shantay pass
Looks like a plain rock, must have some ore in it?		examine	item	Rock
A Tourist's Guide To Ardougne.		examine	item	Guide book
The Rantuki tribe's totem.		examine	item	Totem
It says 'To Lord Handelmort, Handelmort Mansion'.		examine	item	Address label
I need to cook this first.		examine	item	Raw ugthanki meat
Freshly cooked ugthanki meat.		examine	item	Ugthanki meat
I need to cook this.		examine	item	Pitta dough
Nicely baked pitta bread. Needs more ingredients to make a kebab.		examine	item	Pitta bread
It's all burnt.		examine	item	Burnt pitta bread
A mixture of tomatoes in a bowl.		examine	item	Chopped tomato
A mixture of onions in a bowl.		examine	item	Chopped onion
Strips of ugthanki meat in a bowl.		examine	item	Chopped ugthanki
A mixture of chopped onions and tomatoes in a bowl.		examine	item	Onion & tomato
A mixture of chopped onions and ugthanki meat in a bowl.		examine	item	Ugthanki & onion
A mixture of chopped tomatoes and ugthanki meat in a bowl.		examine	item	Ugthanki & tomato
A mixture of chopped tomatoes, onions and ugthanki meat in a bowl.		examine	item	Kebab mix
A strange smelling kebab made from ugthanki meat.		examine	item	Ugthanki kebab
A fresh kebab made from ugthanki meat.		examine	item	Ugthanki kebab
Useful for baking cakes.		examine	item	Cake tin
Now all I need to do is cook it.		examine	item	Uncooked cake
A plain sponge cake.		examine	item	Cake
Someone has eaten a big chunk of this cake.		examine	item	2/3 cake
I'd rather have a whole cake.		examine	item	Slice of cake
This looks very tasty.		examine	item	Chocolate cake
Argh what a mess!		examine	item	Burnt cake
I need to fill this with beer.		examine	item	Beer glass
It's a bowl of water.		examine	item	Bowl of water
Useful for mixing things.		examine	item	Bowl
It's a wooden bucket.		examine	item	Bucket
It's a bucket of milk.		examine	item	Bucket of milk
It's a bucket of water.		examine	item	Bucket of water
This pot is empty.		examine	item	Pot
There is flour in this pot.		examine	item	Pot of flour
This jug is empty.		examine	item	Jug
It's full of water.		examine	item	Jug of water
A foul smelling thick tar-like substance.		examine	item	Swamp tar
A thick tar-like substance mixed with flour.		examine	item	Raw swamp paste
A tar-like substance mixed with flour and warmed.		examine	item	Swamp paste
This could be used to make a good stew.		examine	item	Potato
A nice fresh egg.		examine	item	Egg
A little heap of flour.		examine	item	Flour
Some wheat heads.		examine	item	Grain
What a silly hat.		examine	item	Chef's hat
Very bright red berries.		examine	item	Redberries
Potentially pastry.		examine	item	Pastry dough
Keeps the doctor away.		examine	item	Cooking apple
A strong smelling onion.		examine	item	Onion
Happy Halloween.		examine	item	Pumpkin
Happy Easter.		examine	item	Easter egg
Yuck I don't like cabbage.		examine	item	Cabbage
A home made spinach thing.		examine	item	Spinach roll
A meaty kebab.		examine	item	Kebab
It's ground up chocolate.		examine	item	Chocolate dust
An empty cup.		examine	item	Empty cup
This would make good ketchup.		examine	item	Tomato
Rotten to the core!		examine	item	Rotten apple
It's got holes in it.		examine	item	Cheese
Good grapes for wine making.		examine	item	Grapes
Oh dear, this wine is terrible!		examine	item	Jug of bad wine
This wine needs to ferment before it can be drunk.		examine	item	Unfermented wine
I need to add some meat too.		examine	item	Incomplete stew
